Genes	Regulator	Regulator Logic Rules	Coefficients	Basal Rate	Stimulated Rate	Regulator Protein	Regulatory Gene	Metabolite	Protein
frdB	DcuR(+)[OR]FNR(+)[OR]NarL(-)	(DcuR|FNR|NarL)	0.008(+)0.008(+)0.08(-)	0.0133	0.16(+)0.16(+)0.16(-)				
frdC	DcuR(+)[OR]FNR(+)[OR]NarL(-)	(DcuR|FNR|NarL)	0.008(+)0.008(+)0.08(-)	0.0133	0.16(+)0.16(+)0.16(-)				
frdD	DcuR(+)[OR]FNR(+)[OR]NarL(-)	(DcuR|FNR|NarL)	0.008(+)0.008(+)0.08(-)	0.0133	0.16(+)0.16(+)0.16(-)				
fumA	ArcA(-)[OR]FNR(-)	(ArcA|FNR)	0.08(-)0.08(-)	0.0133	0.16(-)0.16(-)				
fumB	CRP(+)[OR]DcuR(+)[OR]FNR(+)[OR]NarL(-)	(FNR)|(CRP|DcuR|NarL)	0.008(+)0.008(+)0.008(+)0.08(-)	0.0133	0.16(+)0.16(+)0.16(+)0.16(-)				
galE	CRP(+/-)[AND]GalR(-)[OR]Rob(-)	(CRP)&(GalR|Rob)	3(+/-)0.08(-)0.08(-)	0.0133	0.16(+/-)0.16(-)0.16(-)				
galK	CRP(+/-)[AND]GalR(-)[OR]Rob(-)	(CRP)&(GalR|Rob)	3(+/-)0.08(-)0.08(-)	0.0133	0.16(+/-)0.16(-)0.16(-)				
galM	CRP(+/-)[AND]GalR(-)[OR]Rob(-)	(CRP)&(GalR|Rob)	3(+/-)0.08(-)0.08(-)	0.0133	0.16(+/-)0.16(-)0.16(-)				
galP	CRP(+/-)[AND]GalR(-)[OR]Rob(-)	(CRP)&(GalR|Rob)	3(+/-)0.08(-)0.08(-)	0.0133	0.16(+/-)0.16(-)0.16(-)				
galR	CRP(+/-)[AND]GalR(-)[OR]Rob(-)	(CRP)&(GalR|Rob)	3(+/-)0.08(-)0.08(-)	0.0133	0.16(+/-)0.16(-)0.16(-)				
galS	CRP(+)[AND]GalR(-)[AND]GalS(-)	(CRP&GalR&GalS)	0.008(+)0.08(-)0.08(-)	0.0133	0.16(+)0.16(-)0.16(-)				
galT	CRP(+/-)[AND]GalR(-)[OR]Rob(-)	(CRP)&(GalR|Rob)	3(+/-)0.08(-)0.08(-)	0.0133	0.16(+/-)0.16(-)0.16(-)				
glpA	ArcA(-)[AND]CRP(+)[AND]FNR(+)[AND]GlpR(-)	(ArcA&CRP&FNR&GlpR)	0.08(-)0.008(+)0.008(+)0.08(-)	0.0133	0.16(-)0.16(+)0.16(+)0.16(-)				
glpB	ArcA(-)[AND]CRP(+)[AND]FNR(+)[AND]GlpR(-)	(ArcA&CRP&FNR&GlpR)	0.08(-)0.008(+)0.008(+)0.08(-)	0.0133	0.16(-)0.16(+)0.16(+)0.16(-)				
glpC	ArcA(-)[AND]CRP(+)[AND]FNR(+)[AND]GlpR(-)	(ArcA&CRP&FNR&GlpR)	0.08(-)0.008(+)0.008(+)0.08(-)	0.0133	0.16(-)0.16(+)0.16(+)0.16(-)				
glpD	CRP(+)[AND]GlpR(-)	(CRP&GlpR)	0.008(+)0.08(-)	0.0133	0.16(+)0.16(-)				
glpF	CRP(+)[AND]GlpR(-)	(CRP&GlpR)	0.008(+)0.08(-)	0.0133	0.16(+)0.16(-)				
glpK	CRP(+)[AND]GlpR(-)	(CRP&GlpR)	0.008(+)0.08(-)	0.0133	0.16(+)0.16(-)				
glpR	CRP(+)[AND]GlpR(-)	(CRP&GlpR)	0.008(+)0.08(-)	0.0133	0.16(+)0.16(-)				
iclR	FadR(-)	(FadR)	0.08(-)	0.0133	0.16(-)				
lacI	CRP(+)[AND]LacI(-)	(CRP&LacI)	0.008(+)0.08(-)	0.0133	0.16(+)0.16(-)				
lacY	CRP(+)[AND]LacI(-)	(CRP&LacI)	0.008(+)0.08(-)	0.0133	0.16(+)0.16(-)				
lacZ	CRP(+)[AND]LacI(-)	(CRP&LacI)	0.008(+)0.08(-)	0.0133	0.16(+)0.16(-)				
lpdA	ArcA(-)[OR]CRP(-)[OR]FIS(+)[OR]PdhR(-)	(ArcA|CRP|FIS|PdhR)	0.08(-)0.08(-)0.008(+)0.08(-)	0.0133	0.16(-)0.16(-)0.16(+)0.16(-)				
mdh	ArcA(-)[OR]CRP(+)	(ArcA|CRP)	0.08(-)0.008(+)	0.0133	0.16(-)0.16(+)				
dgsA	CRP(+/-)[OR]CytR(-)[OR]DeoR(-)	(CRP|CytR|DeoR)	3(+/-)0.08(-)0.08(-)	0.0133	0.16(+/-)0.16(-)0.16(-)				
ndh	FNR(-)	(FNR)	0.08(-)	0.0133	0.16(-)				
pdhR	ArcA(-)[OR]CRP(+)[OR]FIS(+)[OR]PdhR(-)	(ArcA|CRP|FIS|PdhR)	0.08(-)0.008(+)0.008(+)0.08(-)	0.0133	0.16(-)0.16(+)0.16(+)0.16(-)				
pflA	FruR(-)	(FruR)	0.08(-)	0.0133	0.16(-)				
pflB	ArcA(+)[OR]CRP(+)[OR]FNR(+)[OR]IHF(+)[OR]NarL(-)	(ArcA|CRP|FNR|IHF|NarL)	0.008(+)0.008(+)0.008(+)0.008(+)0.08(-)	0.0133	0.16(+)0.16(+)0.16(+)0.16(+)0.16(-)				
pflC	ArcA(+)[OR]CRP(+)[OR]FNR(+)[OR]IHF(+)[OR]NarL(-)	(ArcA|CRP|FNR|IHF|NarL)	0.008(+)0.008(+)0.008(+)0.008(+)0.08(-)	0.0133	0.16(+)0.16(+)0.16(+)0.16(+)0.16(-)				
pflD	ArcA(+)[OR]CRP(+)[OR]FNR(+)[OR]IHF(+)[OR]NarL(-)	(ArcA|CRP|FNR|IHF|NarL)	0.008(+)0.008(+)0.008(+)0.008(+)0.08(-)	0.0133	0.16(+)0.16(+)0.16(+)0.16(+)0.16(-)				
pgk	CRP(+)[OR]FruR(+)	(CRP|FruR)	0.008(+)0.008(+)	0.0133	0.16(+)0.16(+)				
ppiA	CRP(+/-)[OR]CytR(-)	(CRP|CytR)	3(+/-)0.08(-)	0.0133	0.16(+/-)0.16(-)				
ptsG	Mlc(-)	(Mlc)	0.08(-)	0.0133	0.16(-)				
ptsH	CRP(+/-)[AND]FruR(+/-)[AND]Mlc(-)	(CRP)&(FruR|Mlc)	3(+/-)3(+/-)0.08(-)	0.0133	0.16(+/-)0.16(+/-)0.16(-)				
ptsI	CRP(+/-)[AND]FruR(+/-)[AND]Mlc(-)	(CRP)&(FruR|Mlc)	3(+/-)3(+/-)0.08(-)	0.0133	0.16(+/-)0.16(+/-)0.16(-)				
pykF	FruR(-)	(FruR)	0.08(-)	0.0133	0.16(-)				
rbsA	RbsR(-)[AND]CRP(+)	(RbsR&CRP)	0.08(-)0.008(+)	0.0133	0.16(-)0.16(+)				
rbsB	RbsR(-)[AND]CRP(+)	(RbsR&CRP)	0.08(-)0.008(+)	0.0133	0.16(-)0.16(+)				
rbsC	RbsR(-)[AND]CRP(+)	(RbsR&CRP)	0.08(-)0.008(+)	0.0133	0.16(-)0.16(+)				
