Experiment #	Input Metabolites	Input Metab Concentration	Perturbation Metabolites	Pertb Metab Conc	Gene Plots 	Additional Conditions
21	(Oxygen,GLCxt)	(1e-3,1e-3)	(Oxygen);(GLCxt,ACxt);(Oxygen,GLCxt,ACxt)	(0e0);(0e0,1e-3);(0e0,0e0,1e-3)	arcA,fnr,sdhA,aceA	RepCoeff = 1e-6,srate = 1.66e-7
22	(Oxygen,GLCxt)	(1e-3,1e-3)	(Oxygen);(GLCxt,ACxt);(Oxygen,GLCxt,ACxt)	(0e0);(0e0,1e-3);(0e0,0e0,1e-3)	arcA,fnr,sdhA,aceA	RepCoeff = 1e-6,srate = 1.66e-8
23	(Oxygen,GLCxt)	(1e-3,1e-3)	(Oxygen);(GLCxt,ACxt);(Oxygen,GLCxt,ACxt)	(0e0);(0e0,1e-3);(0e0,0e0,1e-3)	arcA,fnr,sdhA,aceA	RepCoeff = 1e-7,srate = 1.66e-4
24	(Oxygen,GLCxt)	(1e-3,1e-3)	(Oxygen);(GLCxt,ACxt);(Oxygen,GLCxt,ACxt)	(0e0);(0e0,1e-3);(0e0,0e0,1e-3)	arcA,fnr,sdhA,aceA	RepCoeff = 1e-7,srate = 1.66e-5
25	(Oxygen,GLCxt)	(1e-3,1e-3)	(Oxygen);(GLCxt,ACxt);(Oxygen,GLCxt,ACxt)	(0e0);(0e0,1e-3);(0e0,0e0,1e-3)	arcA,fnr,sdhA,aceA	RepCoeff = 1e-7,srate = 1.66e-6
26	(Oxygen,GLCxt)	(1e-3,1e-3)	(Oxygen);(GLCxt,ACxt);(Oxygen,GLCxt,ACxt)	(0e0);(0e0,1e-3);(0e0,0e0,1e-3)	arcA,fnr,sdhA,aceA	RepCoeff = 1e-7,srate = 1.66e-7
27	(Oxygen,GLCxt)	(1e-3,1e-3)	(Oxygen);(GLCxt,ACxt);(Oxygen,GLCxt,ACxt)	(0e0);(0e0,1e-3);(0e0,0e0,1e-3)	arcA,fnr,sdhA,aceA	RepCoeff = 1e-7,srate = 1.66e-8
28	(Oxygen,GLCxt)	(1e-3,1e-3)	(Oxygen);(GLCxt,ACxt);(Oxygen,GLCxt,ACxt)	(0e0);(0e0,1e-3);(0e0,0e0,1e-3)	arcA,fnr,sdhA,aceA	RepCoeff = 1e-8,srate = 1.66e-4
29	(Oxygen,GLCxt)	(1e-3,1e-3)	(Oxygen);(GLCxt,ACxt);(Oxygen,GLCxt,ACxt)	(0e0);(0e0,1e-3);(0e0,0e0,1e-3)	arcA,fnr,sdhA,aceA	RepCoeff = 1e-8,srate = 1.66e-5
30	(Oxygen,GLCxt)	(1e-3,1e-3)	(Oxygen);(GLCxt,ACxt);(Oxygen,GLCxt,ACxt)	(0e0);(0e0,1e-3);(0e0,0e0,1e-3)	arcA,fnr,sdhA,aceA	RepCoeff = 1e-8,srate = 1.66e-6
31	(Oxygen,GLCxt)	(1e-3,1e-3)	(Oxygen);(GLCxt,ACxt);(Oxygen,GLCxt,ACxt)	(0e0);(0e0,1e-3);(0e0,0e0,1e-3)	arcA,fnr,sdhA,aceA	RepCoeff = 1e-8,srate = 1.66e-7
32	(Oxygen,GLCxt)	(1e-3,1e-3)	(Oxygen);(GLCxt,ACxt);(Oxygen,GLCxt,ACxt)	(0e0);(0e0,1e-3);(0e0,0e0,1e-3)	arcA,fnr,sdhA,aceA	RepCoeff = 1e-8,srate = 1.66e-8
